Part_ID,Category,Unit_Cost,Lead_Time_Days,Demand_Class,ABC_Class,XYZ_Class,ABC_XYZ,Avg_Monthly_Demand,Annual_Demand,Annual_Value,EOQ,Safety_Stock,ROP,Avg_Inventory,Working_Capital,Inventory_Turnover,Days_of_Supply,Stock_Status,Newsvendor_Savings,Recommended_Method,MASE,Cpk,CV
P0001,Brake System,289.81,10,Lumpy,B,Z,BZ,0.98,11.8,3409.52,4.0,2.4,2.7,4.4,1272.27,2.68,134.3,Healthy,80.15,SBA,1.72,0.13,2.551
P0002,Cooling System,73.11,25,Erratic,B,Z,BZ,2.96,35.5,2597.61,13.9,5.0,7.5,12.0,877.32,2.961,121.6,Healthy,67.4,SBA,1.679,0.294,1.131
P0003,Transmission,402.28,37,Intermittent,C,Z,CZ,0.41,4.9,1987.75,2.2,2.0,2.5,3.1,1258.45,1.58,227.9,Dead Stock,178.9,Croston,1.515,0.124,2.685
P0004,Electrical,33.22,9,Smooth,B,X,BX,6.67,80.0,2657.61,31.0,2.2,4.2,17.7,587.79,4.521,79.6,Healthy,74.35,Naive,1.457,0.919,0.362
P0005,Engine Components,232.18,52,Intermittent,B,Z,BZ,1.02,12.2,2840.85,4.6,4.1,5.8,6.4,1475.01,1.926,186.9,Healthy,32.02,Croston,1.293,0.181,1.837
P0006,Engine Components,530.19,31,Lumpy,A,Z,AZ,2.27,27.3,14471.07,4.5,6.9,9.2,9.1,4843.97,2.987,120.5,Excess Stock,733.75,SBA,1.748,0.184,1.806
P0007,Engine Components,347.22,20,Intermittent,C,Z,CZ,0.35,4.2,1470.56,2.2,1.3,1.6,2.4,843.61,1.743,206.5,Healthy,132.35,Croston,1.651,0.119,2.795
P0008,Fuel System,179.56,23,Lumpy,C,Z,CZ,0.43,5.2,929.51,3.4,3.1,3.4,4.8,857.11,1.084,332.0,Dead Stock,69.85,SBA,0.969,0.067,4.95
P0009,Electrical,21.85,11,Smooth,B,X,BX,8.16,97.9,2138.7,42.3,3.2,6.2,24.4,532.27,4.018,89.6,Healthy,54.65,Naive,1.594,0.847,0.393
P0010,Transmission,408.5,56,Intermittent,C,Z,CZ,0.24,2.8,1153.42,1.7,2.1,2.6,2.9,1203.72,0.958,375.7,Slow Mover,103.81,Croston,1.76,0.083,4.0
P0011,Engine Components,398.62,53,Erratic,A,Z,AZ,2.94,35.3,14069.07,6.0,6.8,12.0,9.7,3884.47,3.622,99.4,Excess Stock,617.79,SBA,0.802,0.316,1.053
P0012,Cooling System,32.9,19,Intermittent,C,Z,CZ,0.67,8.0,263.19,9.9,1.7,2.1,6.6,216.62,1.215,296.3,Healthy,4.07,Croston,0.761,0.176,1.894
P0013,Exhaust System,54.28,10,Intermittent,C,Z,CZ,0.51,6.1,332.05,6.7,1.0,1.1,4.3,234.65,1.415,254.4,Healthy,18.25,Croston,1.26,0.167,1.995
